total,week,days
48,2019-10-19,"[2,7,11,2,12,6,8]"
35,2019-10-26,"[4,13,5,4,5,2,2]"
32,2019-11-02,"[0,7,5,7,4,6,3]"
55,2019-11-09,"[9,4,21,9,4,5,3]"
41,2019-11-16,"[4,6,3,8,3,10,7]"
31,2019-11-23,"[0,8,11,4,0,4,4]"
39,2019-11-30,"[5,7,5,10,4,8,0]"
66,2019-12-07,"[1,18,14,6,10,9,8]"
48,2019-12-14,"[0,5,12,8,14,5,4]"
50,2019-12-21,"[3,3,6,9,1,17,11]"
70,2019-12-28,"[8,9,16,7,7,14,9]"
81,2020-01-04,"[15,20,7,15,13,9,2]"
53,2020-01-11,"[3,12,9,11,4,7,7]"
40,2020-01-18,"[10,3,9,5,5,4,4]"
36,2020-01-25,"[4,6,10,7,2,4,3]"
73,2020-02-01,"[31,15,7,5,6,6,3]"
26,2020-02-08,"[3,6,2,3,3,7,2]"
58,2020-02-15,"[6,6,7,10,2,16,11]"
83,2020-02-22,"[7,17,9,15,14,14,7]"
36,2020-02-29,"[4,7,4,6,2,4,9]"
62,2020-03-07,"[1,8,13,3,16,12,9]"
56,2020-03-14,"[3,4,8,8,16,13,4]"
101,2020-03-21,"[14,29,4,10,20,7,17]"
76,2020-03-28,"[3,17,11,7,18,13,7]"
36,2020-04-04,"[2,4,9,4,8,5,4]"
69,2020-04-11,"[7,7,6,11,18,11,9]"
45,2020-04-18,"[5,8,8,10,8,2,4]"
46,2020-04-25,"[13,14,7,1,4,3,4]"
48,2020-05-02,"[9,8,4,10,5,6,6]"
60,2020-05-09,"[11,14,9,8,4,5,9]"
39,2020-05-16,"[3,1,5,3,16,4,7]"
43,2020-05-23,"[4,1,7,5,8,9,9]"
47,2020-05-30,"[4,7,9,5,13,7,2]"
53,2020-06-06,"[2,7,8,9,8,15,4]"
107,2020-06-13,"[12,15,11,9,13,19,28]"
60,2020-06-20,"[12,7,11,3,11,9,7]"
61,2020-06-27,"[5,11,17,14,9,4,1]"
63,2020-07-04,"[8,14,5,15,7,4,10]"
66,2020-07-11,"[7,15,11,18,7,6,2]"
79,2020-07-18,"[4,14,12,20,5,8,16]"
33,2020-07-25,"[4,7,3,5,3,5,6]"
89,2020-08-01,"[14,13,9,11,10,16,16]"
50,2020-08-08,"[12,5,9,6,7,1,10]"
82,2020-08-15,"[3,2,12,22,10,13,20]"
88,2020-08-22,"[5,18,28,13,11,8,5]"
62,2020-08-29,"[2,10,8,11,13,6,12]"
78,2020-09-05,"[8,6,20,14,11,8,11]"
69,2020-09-12,"[9,17,8,14,9,4,8]"
56,2020-09-19,"[1,9,13,11,6,15,1]"
47,2020-09-26,"[8,4,7,2,4,10,12]"
72,2020-10-03,"[4,9,8,11,13,16,11]"
23,2020-10-10,"[18,5,0,0,0,0,0]"
